,Rule,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,reac_meta_name,reac_meta_value,reac_meta_name_list,Km,Kcat,Gibbs,SMILES
15,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,amp_x,1,AMP C10H12N5O7P,,,-135.89479,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
16,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,amp_m,1,AMP C10H12N5O7P,,,-135.89479,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
17,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,accoa_x,1,Acetyl-CoA,1.8,,-506.8639,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
18,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,accoa_m,1,Acetyl-CoA,1.8,,-506.8639,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
19,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSp,Acetyl CoA synthetase,ac_x,-1,Acetate,0.337,,-57.768696,CC([O-])=O
20,YAL054C,K01895,acetyl-CoA synthetase ,6.2.1.1,6,ACSm,Acetyl CoA synthetase,ac_m,-1,Acetate,0.337,,-57.768696,CC([O-])=O
21,YAL060W,K00004,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase ",1.1.1.4 1.1.1.- 1.1.1.303,1,BTDD_RR, R R  butanediol dehydrogenase,btd_RR_c,-1,"(2R,3R)-2,3-butanediol",14,,22.571203,C[C@@H](O)[C@@H](C)O
22,YAL060W,K00004,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase ",1.1.1.4 1.1.1.- 1.1.1.303,1,BTDD_RR, R R  butanediol dehydrogenase,actn__R_c,1,(R)-acetoin,3,,10.048964,C[C@@H](O)C(C)=O
23,YAR015W,K01923,phosphoribosylaminoimidazole-succinocarboxamide synthase ,6.3.2.6,6,PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,asp__L_c,-1,L-Aspartate,,,-105.78535,[NH3+][C@@H](CC([O-])=O)C([O-])=O
24,YAR015W,K01923,phosphoribosylaminoimidazole-succinocarboxamide synthase ,6.3.2.6,6,PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,5aizc_c,-1,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,,,-281.9062,Nc1c([nH+]cn1[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O)C([O-])=O
25,YAR015W,K01923,phosphoribosylaminoimidazole-succinocarboxamide synthase ,6.3.2.6,6,PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,25aics_c,1,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succite,,,-351.6062,[H][C@]1(COP([O-])([O-])=O)O[C@]([H])([C@H](O)[C@@H]1O)n1cnc(C(=O)N[C@@H](CC([O-])=O)C([O-])=O)c1N
26,YBL013W,K00604,methionyl-tRNA formyltransferase ,2.1.2.9,2,FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,thf_m,1,"5,6,7,8-tetrahydrofolate",,,73.9153,C(NC1(\C=C/C(/C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C\C=1))[C@H]2(CNC3(/N=C(N)\NC(=O)C(/N2)=3))
27,YBL013W,K00604,methionyl-tRNA formyltransferase ,2.1.2.9,2,FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,mettrna_m,-1,NA,,,NA,NA
28,YBL013W,K00604,methionyl-tRNA formyltransferase ,2.1.2.9,2,FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,fmettrna_m,1,NA,,,NA,NA
29,YBL013W,K00604,methionyl-tRNA formyltransferase ,2.1.2.9,2,FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,10fthf_m,-1,10-Formyltetrahydrofolate,,,18.715298,[H]C(=O)N(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O
30,YBL015W,K01067,acetyl-CoA hydrolase ,3.1.2.1,3,ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible ,coa_m,1,Coenzyme A,,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
31,YBL015W,K01067,acetyl-CoA hydrolase ,3.1.2.1,3,ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible ,accoa_m,-1,Acetyl-CoA,,,-506.8639,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
32,YBL015W,K01067,acetyl-CoA hydrolase ,3.1.2.1,3,ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible ,ac_m,1,Acetate,,,-57.768696,CC([O-])=O
33,YBL033C,K01497,GTP cyclohydrolase II ,3.5.4.25,3,GTPCII,GTP cyclohydrolase II,for_c,1,Formate,,,-73.93095,[H]C([O-])=O
34,YBL033C,K01497,GTP cyclohydrolase II ,3.5.4.25,3,GTPCII,GTP cyclohydrolase II,25dhpp_c,1,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P,,,NA,NA
35,YBL076C,K01870,isoleucyl-tRNA synthetase ,6.1.1.5,6,ILETRS,Isoleucyl-tRNA synthetase,trnaile_c,-1,tRNAIle,,0.13,NA,NA
36,YBL076C,K01870,isoleucyl-tRNA synthetase ,6.1.1.5,6,ILETRS,Isoleucyl-tRNA synthetase,iletrna_c,1,,,,NA,NA
37,YBL076C,K01870,isoleucyl-tRNA synthetase ,6.1.1.5,6,ILETRS,Isoleucyl-tRNA synthetase,ile__L_c,-1,L-Isoleucine,,,51.324574,CC[C@H](C)[C@H]([NH3+])C([O-])=O
38,YBL098W,K00486,kynurenine 3-monooxygenase ,1.14.13.9,1,KYN3OX,Kynurenine 3 monooxygenase,Lkynr_c,-1,L Kynurenine C10H12N2O3,0.0425,,46.313446,Nc1ccccc1C(=O)C[C@H]([NH3+])C([O-])=O
39,YBL098W,K00486,kynurenine 3-monooxygenase ,1.14.13.9,1,KYN3OX,Kynurenine 3 monooxygenase,hLkynr_c,1,3 Hydroxy L kynurenine C10H12N2O4,,,6.8334436,Nc1c(O)cccc1C(=O)C[C@H]([NH3+])C([O-])=O
40,YBR003W,K05355,hexaprenyl-diphosphate synthase ,2.5.1.82 2.5.1.83,2,PPTTm,Trans pentaprenyltranstransferase  mitochondrial,ppi_m,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
41,YBR003W,K05355,hexaprenyl-diphosphate synthase ,2.5.1.82 2.5.1.83,2,PPTTm,Trans pentaprenyltranstransferase  mitochondrial,pendp_m,-1,geranylfarnesyl diphosphate,,,91.48741,CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
42,YBR003W,K05355,hexaprenyl-diphosphate synthase ,2.5.1.82 2.5.1.83,2,PPTTm,Trans pentaprenyltranstransferase  mitochondrial,ipdp_m,-1,Isopentenyl diphosphate,,,-350.20844,CC(=C)CCOP([O-])(=O)OP([O-])([O-])=O
43,YBR003W,K05355,hexaprenyl-diphosphate synthase ,2.5.1.82 2.5.1.83,2,PPTTm,Trans pentaprenyltranstransferase  mitochondrial,hexdp_m,1,All trans Hexaprenyl diphosphate C30H49O7P2,,,201.7464,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O
44,YBR006W,K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase ,1.2.1.16 1.2.1.79 1.2.1.20,1,SSALy,Succinate-semialdehyde dehydrogenase (NADP),sucsal_c,-1,succinate semialdehyde,0.017,,-59.216465,C(C=O)CC(=O)[O-]
45,YBR006W,K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase ,1.2.1.16 1.2.1.79 1.2.1.20,1,SSALy,Succinate-semialdehyde dehydrogenase (NADP),succ_c,1,Succinate,,,-125.16375,C(C([O-])=O)CC([O-])=O
46,YBR018C,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,GALT,Galactose 1 phosphate uridylyltransferase,utp_c,-1,UTP,,,-618.39075,C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))[C@H](O)[C@H](O)2)
47,YBR018C,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,GALT,Galactose 1 phosphate uridylyltransferase,udpgal_c,1,UDPgalactose,,,-566.8436,C(O)[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
48,YBR018C,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,GALT,Galactose 1 phosphate uridylyltransferase,gal1p_c,-1,Alpha-D-Galactose 1-phosphate,4,987,-319.04593,OC[C@H]1O[C@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@H]1O
49,YBR019C,K01784,UDP-glucose 4-epimerase ,5.1.3.2,5,UDPG4E,UDPglucose 4-epimerase,udpgal_c,1,UDPgalactose,0.1545,64.8,-566.8436,C(O)[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
50,YBR019C,K01784,UDP-glucose 4-epimerase ,5.1.3.2,5,UDPG4E,UDPglucose 4-epimerase,udpg_c,-1,UDPglucose,,,-566.8436,C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
51,YBR020W,K00849,galactokinase ,2.7.1.6,2,GALKr,Galactokinase,gal1p_c,1,Alpha-D-Galactose 1-phosphate,,,-319.04593,OC[C@H]1O[C@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@H]1O
52,YBR020W,K00849,galactokinase ,2.7.1.6,2,GALKr,Galactokinase,gal_c,-1,D-Galactose,0.6,,-95.02656,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
53,YBR021W,K03457,"nucleobase:cation symporter-1, NCS1 family ",,,URAt2,Uracil transport in via proton symport,ura_e,-1,uracil,,,-28.995518,C1(\NC(=O)NC(=O)\C=1)
54,YBR021W,K03457,"nucleobase:cation symporter-1, NCS1 family ",,,URAt2,Uracil transport in via proton symport,ura_c,1,uracil,,,-28.995518,C1(\NC(=O)NC(=O)\C=1)
55,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,ppi_m,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
56,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,pa_SC_m,-0.01,Phosphatidate  yeast specific C3540H6544O800P100,0.5,8.92,NA,NA
57,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYN_SC,CDP Diacylglycerol synthetase  yeast specific,pa_SC_c,-0.01,Phosphatidate  yeast specific C3540H6544O800P100,0.5,8.92,NA,NA
58,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,ctp_m,-1,CTP C9H12N3O14P3,0.88,8.92,-569.48956,Nc1ccn([C@@H]2O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]2O)c(=O)n1
59,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,cdpdag_SC_m,0.01,CDPdiacylglycerol  yeast specific C4440H7744N300O1500P200,,,NA,NA
60,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYN_SC,CDP Diacylglycerol synthetase  yeast specific,cdpdag_SC_c,0.01,CDPdiacylglycerol  yeast specific C4440H7744N300O1500P200,,,NA,NA
61,YBR034C,K11434,type I protein arginine methyltransferase ,2.1.1.319,2,ARMT,HnRNP arginine N methyltransferase,NPmehis_c,1,N pai  Methyl L histidine C7H11N3O2,,,67.812325,Cn1cncc1C[C@H]([NH3+])C(=O)[O-]
62,YBR034C,K11434,type I protein arginine methyltransferase ,2.1.1.319,2,ARMT,HnRNP arginine N methyltransferase,his__L_c,-1,L-Histidine,,,35.000095,[NH3+][C@@H](Cc1c[nH]cn1)C([O-])=O
63,YBR034C,K11434,type I protein arginine methyltransferase ,2.1.1.319,2,ARMT,HnRNP arginine N methyltransferase,amet_c,-1,S-Adenosyl-L-methionine,,,124.03472,C[S+](CC[C@H]([NH3+])C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
64,YBR034C,K11434,type I protein arginine methyltransferase ,2.1.1.319,2,ARMT,HnRNP arginine N methyltransferase,ahcys_c,1,S-Adenosyl-L-homocysteine,,,84.0534,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CSCC[C@H]([NH3+])C([O-])=O)[C@@H](O)[C@H]1O
65,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYDXNO,Pyridoxine oxidase,pydxn_c,-1,Pyridoxine,,,23.02232,Cc1ncc(CO)c(CO)c1O
66,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PDX5POi,Pyridoxine 5'-phosphate oxidase,pydx5p_c,1,Pyridoxal 5'-phosphate,,,-213.60925,[H]C(=O)c1c(COP([O-])([O-])=O)cnc(C)c1O
67,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYAM5PO,Pyridoxamine 5'-phosphate oxidase,pydx5p_c,1,Pyridoxal 5'-phosphate,,,-213.60925,[H]C(=O)c1c(COP([O-])([O-])=O)cnc(C)c1O
68,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYDXNO,Pyridoxine oxidase,pydx_c,1,Pyridoxal,,,10.410096,[H]C(=O)c1c(CO)cnc(C)c1O
69,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYDXO,Pyridoxal oxidase,pydx_c,-1,Pyridoxal,,,10.410096,[H]C(=O)c1c(CO)cnc(C)c1O
70,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYDXO,Pyridoxal oxidase,pydam_c,1,Pyridoxamine,,,78.50251,Cc1ncc(CO)c(C[NH3+])c1O
71,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYAM5PO,Pyridoxamine 5'-phosphate oxidase,pyam5p_c,-1,Pyridoxamine 5'-phosphate,0.0176,0.103,-144.2686,Cc1ncc(COP([O-])([O-])=O)c(C[NH3+])c1O
72,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PDX5POi,Pyridoxine 5'-phosphate oxidase,pdx5p_c,-1,Pyridoxine 5'-phosphate,,,-200.99702,Cc1ncc(COP([O-])([O-])=O)c(CO)c1O
73,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYAM5PO,Pyridoxamine 5'-phosphate oxidase,nh4_c,1,Ammonium,,,11.853362,[H][N+]([H])([H])[H]
74,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYDXO,Pyridoxal oxidase,nh4_c,-1,Ammonium,,,11.853362,[H][N+]([H])([H])[H]
75,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PDX5POi,Pyridoxine 5'-phosphate oxidase,h2o2_c,1,Hydrogen peroxide,,,-11.457759,[H]OO[H]
76,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYAM5PO,Pyridoxamine 5'-phosphate oxidase,h2o2_c,1,Hydrogen peroxide,,,-11.457759,[H]OO[H]
77,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYDXNO,Pyridoxine oxidase,h2o2_c,1,Hydrogen peroxide,,,-11.457759,[H]OO[H]
78,YBR035C,K00275,pyridoxamine 5'-phosphate oxidase ,1.4.3.5,1,PYDXO,Pyridoxal oxidase,h2o2_c,2,Hydrogen peroxide,,,-11.457759,[H]OO[H]
79,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,ttccoa_x,1,lignoceroyl-CoA,,,-19.294575,CCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
80,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,ttc_x,-1,lignocerate,,,431.32062,CCCCCCCCCCCCCCCCCCCCCCCC([O-])=O
81,YBR041W,,,,,FA240tp,Fatty acid peroxisomal transport,ttc_x,1,lignocerate,,,431.32062,CCCCCCCCCCCCCCCCCCCCCCCC([O-])=O
82,YBR041W,,,,,FA240tp,Fatty acid peroxisomal transport,ttc_c,-1,lignocerate,,,431.32062,CCCCCCCCCCCCCCCCCCCCCCCC([O-])=O
83,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,ppi_x,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
84,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,ppi_x,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
85,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,hexccoa_x,1,Hexacosanoyl CoA  n C260CoA  C47H82N7O17P3S,,,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
86,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,hexc_x,-1,Hexacosanoate  n C260  C26H51O2,,,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
87,YBR041W,,,,,FA260tp,Fatty acid peroxisomal transport,hexc_x,1,Hexacosanoate  n C260  C26H51O2,,,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
88,YBR041W,,,,,FA260tp,Fatty acid peroxisomal transport,hexc_c,-1,Hexacosanoate  n C260  C26H51O2,,,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
89,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,coa_x,-1,Coenzyme A,,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
90,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,coa_x,-1,Coenzyme A,,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
91,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,atp_x,-1,ATP C10H12N5O13P3,,,-553.6995,C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
92,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,atp_x,-1,ATP C10H12N5O13P3,,,-553.6995,C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
93,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,amp_x,1,AMP C10H12N5O7P,,,-135.89479,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
94,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,amp_x,1,AMP C10H12N5O7P,,,-135.89479,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
95,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,thf_m,-1,"5,6,7,8-tetrahydrofolate",2.3,,73.9153,C(NC1(\C=C/C(/C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C\C=1))[C@H]2(CNC3(/N=C(N)\NC(=O)C(/N2)=3))
96,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,MTHFDm,Methylenetetrahydrofolate dehydrogenase  NADP   mitochondrial,mlthf_m,-1,"5,10-Methylenetetrahydrofolate",,,94.2353,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2
97,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,MTHFCm,Methenyltetrahydrifikate cyclohydrolase  mitochondrial,methf_m,-1,"5,10-Methenyltetrahydrofolate",0.038,,NA,NA
