Unnamed: 0,Rule,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,meta_name,reac_meta_value,meta_name_long,Gibbs,smiles
71,b0031,K00215,4-hydroxy-tetrahydrodipicolinate reductase ,1.17.1.8,1,DHDPRy,Dihydrodipicolinate reductase (NADPH),23dhdp_c,-1,"2,3-Dihydrodipicolinate",-90.00263,O=C([O-])C1=N[C@H](C(=O)[O-])CC=C1
75,b0031,K00215,4-hydroxy-tetrahydrodipicolinate reductase ,1.17.1.8,1,DHDPRy,Dihydrodipicolinate reductase (NADPH),thdp_c,1,"2,3,4,5-Tetrahydrodipicolinate",-80.02039,O=C([O-])C1=N[C@H](C(=O)[O-])CCC1
78,b0036,K08299,crotonobetainyl-CoA hydratase ,4.2.1.149,4,CRNCDH,Carnityl-CoA dehydratse,crncoa_c,-1,L-Carnitinyl-CoA,-421.90594,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)C[N+](C)(C)C
79,b0036,K08299,crotonobetainyl-CoA hydratase ,4.2.1.149,4,CRNCDH,Carnityl-CoA dehydratse,ctbtcoa_c,1,Crotonobetainyl-CoA,-383.59824,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)\C=C\C[N+](C)(C)C
81,b0036,K08299,crotonobetainyl-CoA hydratase ,4.2.1.149,4,CRNCAR,Carnitine-CoA racemase,crnDcoa_c,1,D-carnitinyl-CoA,-421.90594,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@H](O)C[N+](C)(C)C
82,b0036,K08299,crotonobetainyl-CoA hydratase ,4.2.1.149,4,CRNCAR,Carnitine-CoA racemase,crncoa_c,-1,L-Carnitinyl-CoA,-421.90594,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)C[N+](C)(C)C
86,b0037,K02182,carnitine-CoA ligase ,6.2.1.48,6,CTBTCAL2,Crotonobetaine-CoA Ligase,ctbt_c,-1,Crotonobetaine,65.14457,C[N+](C/C=C/C([O-])=O)(C)C
87,b0037,K02182,carnitine-CoA ligase ,6.2.1.48,6,CTBTCAL2,Crotonobetaine-CoA Ligase,ctbtcoa_c,1,Crotonobetainyl-CoA,-383.59824,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)\C=C\C[N+](C)(C)C
92,b0037,K02182,carnitine-CoA ligase ,6.2.1.48,6,CRNDCAL2,D-Carnitine-CoA Ligase,crnDcoa_c,1,D-carnitinyl-CoA,-421.90594,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@H](O)C[N+](C)(C)C
93,b0037,K02182,carnitine-CoA ligase ,6.2.1.48,6,CRNDCAL2,D-Carnitine-CoA Ligase,crn__D_c,-1,D-Carnitine,26.8368,C[N+](C)(C)C[C@@H](O)CC([O-])=O
98,b0037,K02182,carnitine-CoA ligase ,6.2.1.48,6,CRNCAL2,Carnitine-CoA Ligase,crn_c,-1,L-Carnitine,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
99,b0037,K02182,carnitine-CoA ligase ,6.2.1.48,6,CRNCAL2,Carnitine-CoA Ligase,crncoa_c,1,L-Carnitinyl-CoA,-421.90594,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)C[N+](C)(C)C
101,b0038,K08298,L-carnitine CoA-transferase ,2.8.3.21,2,CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,bbtcoa_c,-1,Gamma-butyrobetainyl-CoA,-383.866,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC[N+](C)(C)C
102,b0038,K08298,L-carnitine CoA-transferase ,2.8.3.21,2,CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,crn_c,-1,L-Carnitine,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
103,b0038,K08298,L-carnitine CoA-transferase ,2.8.3.21,2,CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,crncoa_c,1,L-Carnitinyl-CoA,-421.90594,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)C[N+](C)(C)C
104,b0038,K08298,L-carnitine CoA-transferase ,2.8.3.21,2,CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,gbbtn_c,1,Gamma-butyrobetaine,64.8768,C[N+](C)(C)CCCC([O-])=O
105,b0038,K08298,L-carnitine CoA-transferase ,2.8.3.21,2,CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,crn_c,-1,L-Carnitine,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
106,b0038,K08298,L-carnitine CoA-transferase ,2.8.3.21,2,CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,crncoa_c,1,L-Carnitinyl-CoA,-421.90594,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)C[N+](C)(C)C
107,b0038,K08298,L-carnitine CoA-transferase ,2.8.3.21,2,CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,ctbt_c,1,Crotonobetaine,65.14457,C[N+](C/C=C/C([O-])=O)(C)C
108,b0038,K08298,L-carnitine CoA-transferase ,2.8.3.21,2,CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,ctbtcoa_c,-1,Crotonobetainyl-CoA,-383.59824,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)\C=C\C[N+](C)(C)C
109,b0040,K05245,L-carnitine/gamma-butyrobetaine antiporter ,,,CRNt7pp,Carnitine/butyrobetaine antiporter (periplasm),crn_c,1,L-Carnitine,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
110,b0040,K05245,L-carnitine/gamma-butyrobetaine antiporter ,,,CRNt7pp,Carnitine/butyrobetaine antiporter (periplasm),crn_p,-1,L-Carnitine,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
111,b0040,K05245,L-carnitine/gamma-butyrobetaine antiporter ,,,CRNt7pp,Carnitine/butyrobetaine antiporter (periplasm),gbbtn_c,-1,Gamma-butyrobetaine,64.8768,C[N+](C)(C)CCCC([O-])=O
112,b0040,K05245,L-carnitine/gamma-butyrobetaine antiporter ,,,CRNt7pp,Carnitine/butyrobetaine antiporter (periplasm),gbbtn_p,1,Gamma-butyrobetaine,64.8768,C[N+](C)(C)CCCC([O-])=O
113,b0040,K05245,L-carnitine/gamma-butyrobetaine antiporter ,,,CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),crn__D_c,-1,D-Carnitine,26.8368,C[N+](C)(C)C[C@@H](O)CC([O-])=O
114,b0040,K05245,L-carnitine/gamma-butyrobetaine antiporter ,,,CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),crn__D_p,1,D-Carnitine,26.8368,C[N+](C)(C)C[C@@H](O)CC([O-])=O
115,b0040,K05245,L-carnitine/gamma-butyrobetaine antiporter ,,,CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),crn_c,1,L-Carnitine,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
116,b0040,K05245,L-carnitine/gamma-butyrobetaine antiporter ,,,CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),crn_p,-1,L-Carnitine,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
121,b0049,K01525,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ,3.6.1.41,3,AP4AH,Ap4A hydrolase,ap4a_c,-1,"P1,P4-Bis(5'-adenosyl) tetraphosphate",-638.3041,C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))[C@H]6(O[C@@H](N4(C5(\C(\N=C/4)=C(N)/N=C\N=5)))[C@H](O)[C@H](O)6)
125,b0049,K01525,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ,3.6.1.41,3,AP5AH,Ap5A hydrolase,ap5a_c,-1,"P1,P5-Bis(5'-adenosyl) pentaphosphate",-752.7127,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
130,b0049,K01525,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ,3.6.1.41,3,GP4GH,Gp4G hydrolase,gp4g_c,-1,"P1,P4-Bis(5'-guanosyl) tetraphosphate",-736.04407,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
136,b0062,K01804,L-arabinose isomerase ,5.3.1.4,5,ARAI,L-arabinose isomerase,arab__L_c,-1,L-Arabinose,-76.8288,[H]C(=O)[C@H](O)[C@@H](O)[C@@H](O)CO
137,b0062,K01804,L-arabinose isomerase ,5.3.1.4,5,ARAI,L-arabinose isomerase,rbl__L_c,1,L-Ribulose,-78.28881,OC[C@H](O)[C@H](O)C(=O)CO
141,b0063,K00853,L-ribulokinase ,2.7.1.16,2,RBK_L1,L-ribulokinase (L-ribulose),rbl__L_c,-1,L-Ribulose,-78.28881,OC[C@H](O)[C@H](O)C(=O)CO
142,b0063,K00853,L-ribulokinase ,2.7.1.16,2,RBK_L1,L-ribulokinase (L-ribulose),ru5p__L_c,1,L-Ribulose 5-phosphate,-302.30817,OCC(=O)[C@@H](O)[C@@H](O)COP([O-])([O-])=O
150,b0074,K01649,2-isopropylmalate synthase ,2.3.3.13,2,IPPS,2-isopropylmalate synthase,3c3hmp_c,1,3-Carboxy-3-hydroxy-4-methylpentanoate,-99.71703,CC(C)[C@@](O)(CC([O-])=O)C([O-])=O
151,b0074,K01649,2-isopropylmalate synthase ,2.3.3.13,2,IPPS,2-isopropylmalate synthase,3mob_c,-1,3-Methyl-2-oxobutanoate,-39.67422,CC(C)C(=O)C([O-])=O
152,b0074,K01649,2-isopropylmalate synthase ,2.3.3.13,2,IPPS,2-isopropylmalate synthase,accoa_c,-1,Acetyl-CoA,-506.8639,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
159,b0085,K01928,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase ",6.3.2.13,6,UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",26dap__M_c,-1,"Meso-2,6-Diaminoheptanedioate",-19.884314,[NH3+][C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-]
164,b0085,K01928,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase ",6.3.2.13,6,UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",uamag_c,-1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,-591.4494,C[C@H](NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)O[C@H](OP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@@H]1NC(C)=O)C(=O)N[C@H](CCC([O-])=O)C([O-])=O
165,b0085,K01928,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase ",6.3.2.13,6,UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",ugmd_c,1,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",-574.7258,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-])C(=O)[O-]
167,b0086,K01929,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase ,6.3.2.10,6,UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",alaala_c,-1,D-Alanyl-D-alanine,4.5634437,C[C@@H]([NH3+])C(=O)N[C@H](C)C([O-])=O
171,b0086,K01929,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase ,6.3.2.10,6,UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",ugmd_c,-1,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",-574.7258,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-])C(=O)[O-]
172,b0086,K01929,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase ,6.3.2.10,6,UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",ugmda_c,1,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",-533.5546,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)[O-])C(=O)[O-]
173,b0087,K01000,phospho-N-acetylmuramoyl-pentapeptide-transferase ,2.7.8.13,2,PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",uagmda_c,1,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",724.0928,CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)[O-])C(=O)NC(CCCC([NH3+])C(=O)[O-])C(=O)NC(C)C(=O)NC(C)C(=O)[O-]
174,b0087,K01000,phospho-N-acetylmuramoyl-pentapeptide-transferase ,2.7.8.13,2,PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",udcpp_c,-1,Undecaprenyl phosphate,962.60144,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])([O-])=O
175,b0087,K01000,phospho-N-acetylmuramoyl-pentapeptide-transferase ,2.7.8.13,2,PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",ugmda_c,-1,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",-533.5546,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)[O-])C(=O)[O-]
179,b0088,K01925,UDP-N-acetylmuramoylalanine--D-glutamate ligase ,6.3.2.9,6,UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,glu__D_c,-1,D-Glutamate,-84.843094,[NH3+][C@H](CCC([O-])=O)C([O-])=O
