Unnamed: 0,Rule,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,reac_meta_name,reac_meta_value,reac_meta_name_list,Km,Kcat,Gibbs,SMILES
48,YBL013W,K00604,methionyl-tRNA formyltransferase ,2.1.2.9,2,FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,mettrna_m,-1,NA,,,NA,NA
49,YBL013W,K00604,methionyl-tRNA formyltransferase ,2.1.2.9,2,FMETTRSm,Methionyl tRNA formyltransferase  mitochondrial,thf_m,1,"5,6,7,8-tetrahydrofolate	",,,73.9153,C(NC1(\C=C/C(/C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C\C=1))[C@H]2(CNC3(/N=C(N)\NC(=O)C(/N2)=3))
50,YBL015W,K01067,acetyl-CoA hydrolase ,3.1.2.1,3,ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible ,ac_m,1,Acetate,,,-57.768696,CC([O-])=O
51,YBL015W,K01067,acetyl-CoA hydrolase ,3.1.2.1,3,ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible ,accoa_m,-1,Acetyl-CoA,,,-506.8639,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
52,YBL015W,K01067,acetyl-CoA hydrolase ,3.1.2.1,3,ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible ,coa_m,1,Coenzyme A,,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
56,YBL033C,K01497,GTP cyclohydrolase II ,3.5.4.25,3,GTPCII,GTP cyclohydrolase II,25dhpp_c,1,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P,,,NA,NA
57,YBL033C,K01497,GTP cyclohydrolase II ,3.5.4.25,3,GTPCII,GTP cyclohydrolase II,for_c,1,Formate,,,-73.93095,[H]C([O-])=O
69,YBL076C,K01870,isoleucyl-tRNA synthetase ,6.1.1.5,6,ILETRS,Isoleucyl-tRNA synthetase,ile__L_c,-1,L-Isoleucine,,,51.324574,CC[C@H](C)[C@H]([NH3+])C([O-])=O
70,YBL076C,K01870,isoleucyl-tRNA synthetase ,6.1.1.5,6,ILETRS,Isoleucyl-tRNA synthetase,iletrna_c,1,,,,NA,NA
72,YBL076C,K01870,isoleucyl-tRNA synthetase ,6.1.1.5,6,ILETRS,Isoleucyl-tRNA synthetase,trnaile_c,-1,tRNAIle,,0.13,NA,NA
73,YBL098W,K00486,kynurenine 3-monooxygenase ,1.14.13.9,1,KYN3OX,Kynurenine 3 monooxygenase,Lkynr_c,-1,L Kynurenine C10H12N2O3,0.0425,,46.313446,Nc1ccccc1C(=O)C[C@H]([NH3+])C([O-])=O
75,YBL098W,K00486,kynurenine 3-monooxygenase ,1.14.13.9,1,KYN3OX,Kynurenine 3 monooxygenase,hLkynr_c,1,3 Hydroxy L kynurenine C10H12N2O4,,,6.8334436,Nc1c(O)cccc1C(=O)C[C@H]([NH3+])C([O-])=O
85,YBR018C,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,GALT,Galactose 1 phosphate uridylyltransferase,gal1p_c,-1,Alpha-D-Galactose 1-phosphate,4,987,-319.04593,OC[C@H]1O[C@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@H]1O
88,YBR018C,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,GALT,Galactose 1 phosphate uridylyltransferase,udpgal_c,1,UDPgalactose,,,-566.8436,C(O)[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
89,YBR018C,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,GALT,Galactose 1 phosphate uridylyltransferase,utp_c,-1,UTP,,,-618.39075,C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))[C@H](O)[C@H](O)2)
93,YBR020W,K00849,galactokinase ,2.7.1.6,2,GALKr,Galactokinase,gal1p_c,1,Alpha-D-Galactose 1-phosphate,,,-319.04593,OC[C@H]1O[C@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@H]1O
94,YBR020W,K00849,galactokinase ,2.7.1.6,2,GALKr,Galactokinase,gal_c,-1,D-Galactose,0.6,,-95.02656,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
99,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYN_SC,CDP Diacylglycerol synthetase  yeast specific,cdpdag_SC_c,0.01,CDPdiacylglycerol  yeast specific C4440H7744N300O1500P200,,,NA,NA
102,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYN_SC,CDP Diacylglycerol synthetase  yeast specific,pa_SC_c,-0.01,Phosphatidate  yeast specific C3540H6544O800P100,0.5,8.92,NA,NA
104,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,cdpdag_SC_m,0.01,CDPdiacylglycerol  yeast specific C4440H7744N300O1500P200,,,NA,NA
105,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,ctp_m,-1,CTP C9H12N3O14P3,0.88,8.92,-569.48956,Nc1ccn([C@@H]2O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]2O)c(=O)n1
107,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,pa_SC_m,-0.01,Phosphatidate  yeast specific C3540H6544O800P100,0.5,8.92,NA,NA
108,YBR029C,K00981,phosphatidate cytidylyltransferase ,2.7.7.41,2,DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,ppi_m,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
109,YBR034C,K11434,type I protein arginine methyltransferase ,2.1.1.319,2,ARMT,HnRNP arginine N methyltransferase,NPmehis_c,1,N pai  Methyl L histidine C7H11N3O2,,,67.812325,Cn1cncc1C[C@H]([NH3+])C(=O)[O-]
110,YBR034C,K11434,type I protein arginine methyltransferase ,2.1.1.319,2,ARMT,HnRNP arginine N methyltransferase,ahcys_c,1,S-Adenosyl-L-homocysteine,,,84.0534,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CSCC[C@H]([NH3+])C([O-])=O)[C@@H](O)[C@H]1O
111,YBR034C,K11434,type I protein arginine methyltransferase ,2.1.1.319,2,ARMT,HnRNP arginine N methyltransferase,amet_c,-1,S-Adenosyl-L-methionine,,,124.03472,C[S+](CC[C@H]([NH3+])C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
113,YBR034C,K11434,type I protein arginine methyltransferase ,2.1.1.319,2,ARMT,HnRNP arginine N methyltransferase,his__L_c,-1,L-Histidine,,,35.000095,[NH3+][C@@H](Cc1c[nH]cn1)C([O-])=O
118,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,amp_x,1,AMP C10H12N5O7P,,,-135.89479,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
119,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,atp_x,-1,ATP C10H12N5O13P3,,,-553.6995,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
120,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,coa_x,-1,Coenzyme A,,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
121,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,ppi_x,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
122,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,ttc_x,-1,lignocerate,,,431.32062,CCCCCCCCCCCCCCCCCCCCCCCC([O-])=O
123,YBR041W,,,,,FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,ttccoa_x,1,"lignoceroyl-CoA	",,,-19.294575,CCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
124,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,amp_x,1,AMP C10H12N5O7P,,,-135.89479,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
125,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,atp_x,-1,ATP C10H12N5O13P3,,,-553.6995,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
126,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,coa_x,-1,Coenzyme A,,,-493.56613,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS
127,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,hexc_x,-1,Hexacosanoate  n C260  C26H51O2,,,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
128,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,hexccoa_x,1,Hexacosanoyl CoA  n C260CoA  C47H82N7O17P3S,,,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
129,YBR041W,,,,,FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,ppi_x,1,Diphosphate,,,-473.4674,OP([O-])(=O)OP([O-])([O-])=O
130,YBR041W,,,,,FA240tp,Fatty acid peroxisomal transport,ttc_c,-1,lignocerate,,,431.32062,CCCCCCCCCCCCCCCCCCCCCCCC([O-])=O
131,YBR041W,,,,,FA240tp,Fatty acid peroxisomal transport,ttc_x,1,lignocerate,,,431.32062,CCCCCCCCCCCCCCCCCCCCCCCC([O-])=O
132,YBR041W,,,,,FA260tp,Fatty acid peroxisomal transport,hexc_c,-1,Hexacosanoate  n C260  C26H51O2,,,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
133,YBR041W,,,,,FA260tp,Fatty acid peroxisomal transport,hexc_x,1,Hexacosanoate  n C260  C26H51O2,,,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
136,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,MTHFCm,Methenyltetrahydrifikate cyclohydrolase  mitochondrial,10fthf_m,1,10-Formyltetrahydrofolate,,,18.715298,[H]C(=O)N(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O
139,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,MTHFCm,Methenyltetrahydrifikate cyclohydrolase  mitochondrial,methf_m,-1,"5,10-Methenyltetrahydrofolate",0.038,,NA,NA
140,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,MTHFDm,Methylenetetrahydrofolate dehydrogenase  NADP   mitochondrial,methf_m,1,"5,10-Methenyltetrahydrofolate",0.038,,NA,NA
141,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,MTHFDm,Methylenetetrahydrofolate dehydrogenase  NADP   mitochondrial,mlthf_m,-1,"5,10-Methylenetetrahydrofolate",,,94.2353,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2
144,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,10fthf_m,1,10-Formyltetrahydrofolate,,,18.715298,[H]C(=O)N(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O
145,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,adp_m,1,ADP C10H12N5O10P2,,,-344.92508,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
146,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,atp_m,-1,ATP C10H12N5O13P3,,,-553.6995,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
147,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,for_m,-1,Formate,38,,-73.93095,[H]C([O-])=O
149,YBR084W,K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3,1,FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,thf_m,-1,"5,6,7,8-tetrahydrofolate	",2.3,,73.9153,C(NC1(\C=C/C(/C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C\C=1))[C@H]2(CNC3(/N=C(N)\NC(=O)C(/N2)=3))
158,YBR132C,K16261,yeast amino acid transporter ,,,CRNt,L carnitine reversible transport,crn_c,1,L-Carnitine,,,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
159,YBR132C,K16261,yeast amino acid transporter ,,,CRNt,L carnitine reversible transport,crn_e,-1,L-Carnitine,,,26.8368,C[N+](C)(C)C[C@H](O)CC([O-])=O
161,YBR149W,K00063,D-arabinose 1-dehydrogenase ,1.1.1.117,1,ARAB1D2,D arabinose 1 dehydrogenase  NADP ,Dara14lac_c,1,D Arabinono 1 4 lactone C5H8O5,,,-97.19104,OC[C@H]1OC(=O)[C@@H](O)[C@@H]1O
162,YBR149W,K00063,D-arabinose 1-dehydrogenase ,1.1.1.117,1,ARAB1D2,D arabinose 1 dehydrogenase  NADP ,arab__D_c,-1,D Arabinose C5H10O5,,,-76.8288,O[C@@H]1COC(O)[C@@H](O)[C@@H]1O
166,YBR153W,K14654,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase ",1.1.1.302,1,DROPPRy,2 5 diamino 6 ribosylamino 4 3H  pyrimidinone 5  phosphate reductase  nadph ,25dhpp_c,-1,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P,,,NA,NA
167,YBR153W,K14654,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase ",1.1.1.302,1,DROPPRy,2 5 diamino 6 ribosylamino 4 3H  pyrimidinone 5  phosphate reductase  nadph ,25dthpp_c,1,2 5 diamino 6 ribitylamino 4 3H  pyrimidinone 5  phosphate C9H16N5O8P,,,NA,NA
172,YBR166C,K00211,prephenate dehydrogenase (NADP+) ,1.3.1.13,1,PPND2,Prephenate dehydrogenase  NADP ,34hpp_c,1,3-(4-Hydroxyphenyl)pyruvate,,,-43.714226,Oc1ccc(CC(=O)C([O-])=O)cc1
176,YBR166C,K00211,prephenate dehydrogenase (NADP+) ,1.3.1.13,1,PPND2,Prephenate dehydrogenase  NADP ,pphn_c,-1,Prephete,,,-105.24928,[H][C@]1(O)C=C[C@](CC(=O)C([O-])=O)(C=C1)C([O-])=O
177,YBR176W,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase ,2.1.2.11,2,MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,2dhp_c,1,2-Dehydropantoate,,,-56.971973,CC(C)(CO)C(=O)C([O-])=O
178,YBR176W,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase ,2.1.2.11,2,MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,3mob_c,-1,3-Methyl-2-oxobutanoate,,,-39.67422,CC(C)C(=O)C([O-])=O
180,YBR176W,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase ,2.1.2.11,2,MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,mlthf_c,-1,"5,10-Methylenetetrahydrofolate",,,94.2353,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2
181,YBR176W,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase ,2.1.2.11,2,MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,thf_c,1,"5,6,7,8-tetrahydrofolate	",,,73.9153,C(NC1(\C=C/C(/C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C\C=1))[C@H]2(CNC3(/N=C(N)\NC(=O)C(/N2)=3))
182,YBR180W,,,,,NFORTYRt,N N bisformyl dityrosine transport  extracellular ,Nbfortyr_c,-1,N N bisformyl dityrosine C20H22N2O8,,,NA,NA
183,YBR180W,,,,,NFORTYRt,N N bisformyl dityrosine transport  extracellular ,Nbfortyr_e,1,N N bisformyl dityrosine C20H22N2O8,,,NA,NA
185,YBR184W,,,,,EPMGH,Epimelibiose galactohydrolase,epm_c,-1,Epimelibiose C12H22O11,,,-376.76,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
186,YBR184W,,,,,EPMGH,Epimelibiose galactohydrolase,gal_c,1,D-Galactose,,,-95.02656,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
188,YBR184W,,,,,EPMGH,Epimelibiose galactohydrolase,man_c,1,D-Mannose,,,-92.706566,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
189,YBR184W,,,,,GALIGH,1 alpha D Galactosyl myo inositol galactohydrolase,1Dgali_c,-1,1 alpha D Galactosyl myo inositol C12H22O11,,,-152.47537,OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
190,YBR184W,,,,,GALIGH,1 alpha D Galactosyl myo inositol galactohydrolase,gal_c,1,D-Galactose,,,-95.02656,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
