,BSU,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,reac_meta_name,reac_meta_value,compound,smiles,Gibbs,kcat,km
597,BSU07920,K07300,Ca2+:H+ antiporter ,,,CAt4,Calcium transport inout via proton antiporter,h_c,1.0,C00080,[H+],0.42906138,,
598,BSU07920,K07300,Ca2+:H+ antiporter ,,,CAt4,Calcium transport inout via proton antiporter,h_e,-1.0,C00080,[H+],0.42906138,,
599,BSU07990,,,,,HIBD,3 hydroxyisobutyrate dehydrogenase,2mop_c,1.0,C00349,CC(C=O)C([O-])=O,-61.026455,,
600,BSU07990,,,,,HIBD,3 hydroxyisobutyrate dehydrogenase,3hmp_c,-1.0,C01188,CC(CO)C([O-])=O,-49.964226,,
601,BSU07990,,,,,HIBD,3 hydroxyisobutyrate dehydrogenase,h_c,1.0,C00080,[H+],0.42906138,,
602,BSU07990,,,,,HIBD,3 hydroxyisobutyrate dehydrogenase,nad_c,-1.0,C00003,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,-338.38196,,
603,BSU07990,,,,,HIBD,3 hydroxyisobutyrate dehydrogenase,nadh_c,1.0,C00004,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,-325.20697,,
609,BSU08180,K01232,maltose-6'-phosphate glucosidase ,3.2.1.122,3,MAL6PG,Maltose 6  phosphate glucosidase,g6p_c,1.0,C00092,OC1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H](O)[C@H]1O,-319.04593,0.26,0.004
610,BSU08180,K01232,maltose-6'-phosphate glucosidase ,3.2.1.122,3,MAL6PG,Maltose 6  phosphate glucosidase,glc__D_c,1.0,C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,-95.02656,0.26,0.004
611,BSU08180,K01232,maltose-6'-phosphate glucosidase ,3.2.1.122,3,MAL6PG,Maltose 6  phosphate glucosidase,h2o_c,-1.0,C00001,[H]O[H],-36.144756,0.26,0.004
612,BSU08180,K01232,maltose-6'-phosphate glucosidase ,3.2.1.122,3,MAL6PG,Maltose 6  phosphate glucosidase,malt6p_c,-1.0,C02995,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H](O)[C@H]1O,-374.81473,0.26,0.004
619,BSU08790,K03147,phosphomethylpyrimidine synthase ,4.1.99.17,4,AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,4ahmmp_c,1.0,C01279,Cc1ncc(CO)c(N)n1,83.120094,,
620,BSU08790,K03147,phosphomethylpyrimidine synthase ,4.1.99.17,4,AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,air_c,-1.0,,Nc1c[nH+]cn1C1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,NA,,
621,BSU08790,K03147,phosphomethylpyrimidine synthase ,4.1.99.17,4,AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,gcald_c,1.0,C00266,[H]C(=O)CO,-29.195517,,
622,BSU08790,K03147,phosphomethylpyrimidine synthase ,4.1.99.17,4,AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,h2o_c,-1.0,C00001,[H]O[H],-36.144756,,
623,BSU08790,K03147,phosphomethylpyrimidine synthase ,4.1.99.17,4,AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,o2_c,0.5,C00007,O=O,3.92,,
624,BSU08790,K03147,phosphomethylpyrimidine synthase ,4.1.99.17,4,AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,pi_c,1.0,C00009,OP([O-])([O-])=O,-223.18665,,
629,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO_1,FmnRD dependent monooxygenase  methanesulfonate ,fald_c,1.0,C00067,[H]C([H])=O,-10.65776,,
630,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO_1,FmnRD dependent monooxygenase  methanesulfonate ,fmnRD_c,-1.0,,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O,NA,,
631,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO_1,FmnRD dependent monooxygenase  methanesulfonate ,fmn_c,1.0,C00061,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C,-193.56837,,
632,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO_1,FmnRD dependent monooxygenase  methanesulfonate ,h2o_c,1.0,C00001,[H]O[H],-36.144756,,
633,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO_1,FmnRD dependent monooxygenase  methanesulfonate ,h_c,1.0,C00080,[H+],0.42906138,,
634,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO_1,FmnRD dependent monooxygenase  methanesulfonate ,mso3_c,-1.0,C11145,CS([O-])(=O)=O,-71.5487,,
635,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO_1,FmnRD dependent monooxygenase  methanesulfonate ,o2_c,-1.0,C00007,O=O,3.92,,
636,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO_1,FmnRD dependent monooxygenase  methanesulfonate ,so3_c,1.0,C00094,[O-]S([O-])=O,-95.25777,,
637,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO1,FMN dependent monooxygenase  ethanesulfonate ,acald_c,1.0,C00084,[H]C(C)=O,7.6844816,,
638,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO1,FMN dependent monooxygenase  ethanesulfonate ,eths_c,-1.0,,CCS([O-])(=O)=O,-49.386463,,
639,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO1,FMN dependent monooxygenase  ethanesulfonate ,fmnRD_c,-1.0,,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O,NA,,
640,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO1,FMN dependent monooxygenase  ethanesulfonate ,fmn_c,1.0,C00061,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C,-193.56837,,
641,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO1,FMN dependent monooxygenase  ethanesulfonate ,h2o_c,1.0,C00001,[H]O[H],-36.144756,,
642,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO1,FMN dependent monooxygenase  ethanesulfonate ,h_c,1.0,C00080,[H+],0.42906138,,
643,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO1,FMN dependent monooxygenase  ethanesulfonate ,o2_c,-1.0,C00007,O=O,3.92,,
644,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO1,FMN dependent monooxygenase  ethanesulfonate ,so3_c,1.0,C00094,[O-]S([O-])=O,-95.25777,,
645,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO2_1,FMN dependent monooxygenase  butanesulfonate ,btal_c,1.0,C01412,[H]C(=O)CCC,53.568966,,
646,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO2_1,FMN dependent monooxygenase  butanesulfonate ,buts_c,-1.0,,CCCCS(=O)(=O)[O-],NA,,
647,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO2_1,FMN dependent monooxygenase  butanesulfonate ,fmnRD_c,-1.0,,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O,NA,,
648,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO2_1,FMN dependent monooxygenase  butanesulfonate ,fmn_c,1.0,C00061,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C,-193.56837,,
649,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO2_1,FMN dependent monooxygenase  butanesulfonate ,h2o_c,1.0,C00001,[H]O[H],-36.144756,,
650,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO2_1,FMN dependent monooxygenase  butanesulfonate ,h_c,1.0,C00080,[H+],0.42906138,,
651,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO2_1,FMN dependent monooxygenase  butanesulfonate ,o2_c,-1.0,C00007,O=O,3.92,,
652,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO2_1,FMN dependent monooxygenase  butanesulfonate ,so3_c,1.0,C00094,[O-]S([O-])=O,-95.25777,,
653,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO3_1,FMN dependent monooxygenase  hexanesulfonate ,fmnRD_c,-1.0,,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O,NA,,
654,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO3_1,FMN dependent monooxygenase  hexanesulfonate ,fmn_c,1.0,C00061,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C,-193.56837,,
655,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO3_1,FMN dependent monooxygenase  hexanesulfonate ,h2o_c,1.0,C00001,[H]O[H],-36.144756,,
656,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO3_1,FMN dependent monooxygenase  hexanesulfonate ,h_c,1.0,C00080,[H+],0.42906138,,
657,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO3_1,FMN dependent monooxygenase  hexanesulfonate ,hexs_c,-1.0,,CCCCCCS(=O)(=O)[O-],39.26251,,
658,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO3_1,FMN dependent monooxygenase  hexanesulfonate ,hxal_c,1.0,,[H]C(=O)CCCCC,95.68345,,
659,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO3_1,FMN dependent monooxygenase  hexanesulfonate ,o2_c,-1.0,C00007,O=O,3.92,,
660,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO3_1,FMN dependent monooxygenase  hexanesulfonate ,so3_c,1.0,C00094,[O-]S([O-])=O,-95.25777,,
661,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO4_1,FMN dependent monooxygenase  taurine ,amacald_c,1.0,C06735,[NH3+]CC=O,26.284664,,
662,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO4_1,FMN dependent monooxygenase  taurine ,fmnRD_c,-1.0,,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O,NA,,
663,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO4_1,FMN dependent monooxygenase  taurine ,fmn_c,1.0,C00061,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C,-193.56837,,
664,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO4_1,FMN dependent monooxygenase  taurine ,h2o_c,1.0,C00001,[H]O[H],-36.144756,,
665,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO4_1,FMN dependent monooxygenase  taurine ,h_c,1.0,C00080,[H+],0.42906138,,
666,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO4_1,FMN dependent monooxygenase  taurine ,o2_c,-1.0,C00007,O=O,3.92,,
667,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO4_1,FMN dependent monooxygenase  taurine ,so3_c,1.0,C00094,[O-]S([O-])=O,-95.25777,,
668,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO4_1,FMN dependent monooxygenase  taurine ,taur_c,-1.0,C00245,[NH3+]CCS([O-])(=O)=O,-49.86216,,
669,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO5_1,FMN dependent monooxygenase  sulfoacetate ,fmnRD_c,-1.0,,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O,NA,,
670,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO5_1,FMN dependent monooxygenase  sulfoacetate ,fmn_c,1.0,C00061,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C,-193.56837,,
671,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO5_1,FMN dependent monooxygenase  sulfoacetate ,glx_c,1.0,C00048,[H]C(=O)C([O-])=O,-102.04095,,
672,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO5_1,FMN dependent monooxygenase  sulfoacetate ,h2o_c,1.0,C00001,[H]O[H],-36.144756,,
673,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO5_1,FMN dependent monooxygenase  sulfoacetate ,h_c,1.0,C00080,[H+],0.42906138,,
674,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO5_1,FMN dependent monooxygenase  sulfoacetate ,o2_c,-1.0,C00007,O=O,3.92,,
675,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO5_1,FMN dependent monooxygenase  sulfoacetate ,so3_c,1.0,C00094,[O-]S([O-])=O,-95.25777,,
676,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO5_1,FMN dependent monooxygenase  sulfoacetate ,sula_c,-1.0,C14179,[O-]C(=O)CS([O-])(=O)=O,-160.58601,,
677,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO6_1,FMN dependent monooxygenase  isethionate ,fmnRD_c,-1.0,,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O,NA,,
678,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO6_1,FMN dependent monooxygenase  isethionate ,fmn_c,1.0,C00061,Cc1cc2nc3c(nc(=O)[n-]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)c2cc1C,-193.56837,,
679,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO6_1,FMN dependent monooxygenase  isethionate ,gcald_c,1.0,C00266,[H]C(=O)CO,-29.195517,,
680,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO6_1,FMN dependent monooxygenase  isethionate ,h2o_c,1.0,C00001,[H]O[H],-36.144756,,
681,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO6_1,FMN dependent monooxygenase  isethionate ,h_c,1.0,C00080,[H+],0.42906138,,
682,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO6_1,FMN dependent monooxygenase  isethionate ,istnt_c,-1.0,C05123,OCCS([O-])(=O)=O,-85.61646,,
683,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO6_1,FMN dependent monooxygenase  isethionate ,o2_c,-1.0,C00007,O=O,3.92,,
684,BSU08860,K04091,alkanesulfonate monooxygenase ,1.14.14.5 1.14.14.34,1,FDMO6_1,FMN dependent monooxygenase  isethionate ,so3_c,1.0,C00094,[O-]S([O-])=O,-95.25777,,
686,BSU09240,,,,,PGLYCP,Phosphoglycolate phosphatase,2pglyc_c,-1.0,C00988,[O-]C(=O)COP([O-])([O-])=O,-317.7463,,
687,BSU09240,,,,,PGLYCP,Phosphoglycolate phosphatase,glyclt_c,1.0,C00160,OCC([O-])=O,-96.398705,,
688,BSU09240,,,,,PGLYCP,Phosphoglycolate phosphatase,h2o_c,-1.0,C00001,[H]O[H],-36.144756,,
689,BSU09240,,,,,PGLYCP,Phosphoglycolate phosphatase,pi_c,1.0,C00009,OP([O-])([O-])=O,-223.18665,,
690,BSU09280,K02440,glycerol uptake facilitator protein ,,,GLYCt,Glycerol transport via channel,glyc_c,-1.0,C00116,OCC(O)CO,-36.731037,,
691,BSU09280,K02440,glycerol uptake facilitator protein ,,,GLYCt,Glycerol transport via channel,glyc_e,1.0,C00116,OCC(O)CO,-36.731037,,
692,BSU09290,K00864,glycerol kinase ,2.7.1.30,2,GLYK,Glycerol kinase,adp_c,1.0,C00008,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-344.92508,,
693,BSU09290,K00864,glycerol kinase ,2.7.1.30,2,GLYK,Glycerol kinase,atp_c,-1.0,C00002,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,-553.6995,,
694,BSU09290,K00864,glycerol kinase ,2.7.1.30,2,GLYK,Glycerol kinase,glyc3p_c,1.0,C00093,OC[C@@H](O)COP([O-])([O-])=O,-258.0304,,
695,BSU09290,K00864,glycerol kinase ,2.7.1.30,2,GLYK,Glycerol kinase,glyc_c,-1.0,C00116,OCC(O)CO,-36.731037,,
696,BSU09290,K00864,glycerol kinase ,2.7.1.30,2,GLYK,Glycerol kinase,h_c,1.0,C00080,[H+],0.42906138,,
697,BSU09300,K00111,glycerol-3-phosphate dehydrogenase ,1.1.5.3,1,G3PD4,Glycerol 3 phosphate dehydrogenase  menaquinone 7 ,dhap_c,1.0,C00111,OCC(=O)COP([O-])([O-])=O,-267.48264,,
698,BSU09300,K00111,glycerol-3-phosphate dehydrogenase ,1.1.5.3,1,G3PD4,Glycerol 3 phosphate dehydrogenase  menaquinone 7 ,glyc3p_c,-1.0,C00093,OC[C@@H](O)COP([O-])([O-])=O,-258.0304,,
699,BSU09300,K00111,glycerol-3-phosphate dehydrogenase ,1.1.5.3,1,G3PD4,Glycerol 3 phosphate dehydrogenase  menaquinone 7 ,mql7_c,1.0,,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1c(C)c(O)c2ccccc2c1O,830.075,,
700,BSU09300,K00111,glycerol-3-phosphate dehydrogenase ,1.1.5.3,1,G3PD4,Glycerol 3 phosphate dehydrogenase  menaquinone 7 ,mqn7_c,-1.0,,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,815.33276,,
701,BSU09310,K01835,phosphoglucomutase ,5.4.2.2,5,PMANM,Phosphomannomutase,man1p_c,-1.0,C00636,OC[C@H]1O[C@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O)[C@@H]1O,-319.04593,,
702,BSU09310,K01835,phosphoglucomutase ,5.4.2.2,5,PMANM,Phosphomannomutase,man6p_c,1.0,C00275,OC1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H](O)[C@@H]1O,-316.72592,,
706,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,12dag3p_BS_c,0.01,,,NA,,
707,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,1ag3p_BS_c,-0.01,,,NA,,
708,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,coa_c,1.0,C00010,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS,-493.56613,,
709,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,fa11coa_c,-0.07,,,NA,,
710,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,fa12coa_c,-0.17,,,NA,,
711,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,fa1coa_c,-0.01,,,NA,,
712,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,fa3coa_c,-0.2,,,NA,,
713,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,fa4coa_c,-0.34,,,NA,,
714,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,fa6coa_c,-0.05,,,NA,,
715,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,pmtcoa_c,-0.1,C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12,-196.59253,,
716,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,strcoa_c,-0.03,C00412,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12,-152.26799,,
717,BSU09540,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase ,2.3.1.51,2,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,tdcoa_c,-0.03,C02593,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12,-240.91699,,
721,BSU10010,,,,,TRPt2r,L tryptophan reversible transport via proton symport,h_c,1.0,C00080,[H+],0.42906138,,
722,BSU10010,,,,,TRPt2r,L tryptophan reversible transport via proton symport,h_e,-1.0,C00080,[H+],0.42906138,,
723,BSU10010,,,,,TRPt2r,L tryptophan reversible transport via proton symport,trp__L_c,1.0,C00806,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C([O-])=O,95.843445,,
724,BSU10010,,,,,TRPt2r,L tryptophan reversible transport via proton symport,trp__L_e,-1.0,C00806,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C([O-])=O,95.843445,,
725,BSU10020,K00831,phosphoserine aminotransferase ,2.6.1.52,2,PSERT,Phosphoserine transaminase,3php_c,-1.0,C03232,[O-]C(=O)C(=O)COP([O-])([O-])=O,-343.68634,,
726,BSU10020,K00831,phosphoserine aminotransferase ,2.6.1.52,2,PSERT,Phosphoserine transaminase,akg_c,1.0,C00026,[O-]C(=O)CCC(=O)C([O-])=O,-149.76376,,
727,BSU10020,K00831,phosphoserine aminotransferase ,2.6.1.52,2,PSERT,Phosphoserine transaminase,glu__L_c,-1.0,C00025,[NH3+][C@@H](CCC([O-])=O)C([O-])=O,-82.27311,,
728,BSU10020,K00831,phosphoserine aminotransferase ,2.6.1.52,2,PSERT,Phosphoserine transaminase,pser__L_c,1.0,C01005,[NH3+][C@@H](COP([O-])([O-])=O)C([O-])=O,-276.2715,,
729,BSU10120,K01599,uroporphyrinogen decarboxylase ,4.1.1.37,4,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),co2_c,4.0,C00011,O=C=O,-92.26,,
730,BSU10120,K01599,uroporphyrinogen decarboxylase ,4.1.1.37,4,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),cpppg3_c,1.0,C03263,Cc1c2Cc3[nH]c(Cc4[nH]c(Cc5[nH]c(Cc([nH]2)c1CCC([O-])=O)c(C)c5CCC([O-])=O)c(C)c4CCC([O-])=O)c(CCC([O-])=O)c3C,206.41187,,
731,BSU10120,K01599,uroporphyrinogen decarboxylase ,4.1.1.37,4,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),h_c,-4.0,C00080,[H+],0.42906138,,
732,BSU10120,K01599,uroporphyrinogen decarboxylase ,4.1.1.37,4,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),uppg3_c,-1.0,C01051,[O-]C(=O)CCc1c2Cc3[nH]c(Cc4[nH]c(Cc5[nH]c(Cc([nH]2)c1CC([O-])=O)c(CCC([O-])=O)c5CC([O-])=O)c(CCC([O-])=O)c4CC([O-])=O)c(CC([O-])=O)c3CCC([O-])=O,-160.97144,,
733,BSU10130,K01772,protoporphyrin/coproporphyrin ferrochelatase ,4.99.1.1 4.99.1.9,4,FCLT_2,Heme B synthesis reaction,fe2_c,-1.0,C14818,[Fe++],-20.098238,,
734,BSU10130,K01772,protoporphyrin/coproporphyrin ferrochelatase ,4.99.1.1 4.99.1.9,4,FCLT_2,Heme B synthesis reaction,h_c,1.0,C00080,[H+],0.42906138,,
